"id","age_months","age_years","age_years_cont","age_zscored","stim_set","highest_count","knower_level","knower_level_cp_subset","trial","magnitude","set_chosen","count","correction_after_prompt","final_count","set_asked","n_bunnies","n_lions","trial_ratio","correct_set_chosen","target_count","correct_count","correct_set_chosen_or_correct_count","correct_count_when_correct_set_chosen","count_error","correct_count_approx"
"9af80b82-e7f8-4d84-bd3c-ddcfb2eb71ce",52,4,4.40547945205479,0.297076915611244,4,13,"CP","CP",2,"large","lion",7,NA,7,"lion",6,7,"6-7",1,7,1,1,1,0,1
"9af80b82-e7f8-4d84-bd3c-ddcfb2eb71ce",52,4,4.40547945205479,0.297076915611244,4,13,"CP","CP",3,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"9af80b82-e7f8-4d84-bd3c-ddcfb2eb71ce",52,4,4.40547945205479,0.297076915611244,4,13,"CP","CP",4,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"9af80b82-e7f8-4d84-bd3c-ddcfb2eb71ce",52,4,4.40547945205479,0.297076915611244,4,13,"CP","CP",5,"small","lion",2,NA,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"9af80b82-e7f8-4d84-bd3c-ddcfb2eb71ce",52,4,4.40547945205479,0.297076915611244,4,13,"CP","CP",6,"small","bunny",3,NA,3,"bunny",3,1,"1-3",1,3,1,1,1,0,1
"387194d8-f532-457a-b89a-c3decd1f1435",61,5,5.09041095890411,1.0735455920651,2,12,"CP","CP",1,"large","lion",7,NA,7,"lion",6,7,"6-7",1,7,1,1,1,0,1
"387194d8-f532-457a-b89a-c3decd1f1435",61,5,5.09041095890411,1.0735455920651,2,12,"CP","CP",2,"small","bunny",1,NA,1,"bunny",1,2,"1-2",1,1,1,1,1,0,1
"387194d8-f532-457a-b89a-c3decd1f1435",61,5,5.09041095890411,1.0735455920651,2,12,"CP","CP",3,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"387194d8-f532-457a-b89a-c3decd1f1435",61,5,5.09041095890411,1.0735455920651,2,12,"CP","CP",4,"small","lion",1,NA,1,"lion",3,1,"1-3",1,1,1,1,1,0,1
"387194d8-f532-457a-b89a-c3decd1f1435",61,5,5.09041095890411,1.0735455920651,2,12,"CP","CP",5,"large","bunny",5,NA,5,"bunny",5,8,"5-8",1,5,1,1,1,0,1
"387194d8-f532-457a-b89a-c3decd1f1435",61,5,5.09041095890411,1.0735455920651,2,12,"CP","CP",6,"small","lion",3,NA,3,"lion",2,3,"2-3",1,3,1,1,1,0,1
"26d566cf-04c4-4c89-aa27-1d8efcf6c5e1",56,4,4.69315068493151,0.623193759721863,2,12,"CP","CP",1,"large","lion",4,7,7,"lion",6,7,"6-7",1,7,1,1,1,0,1
"26d566cf-04c4-4c89-aa27-1d8efcf6c5e1",56,4,4.69315068493151,0.623193759721863,2,12,"CP","CP",2,"small","bunny",1,NA,1,"bunny",1,2,"1-2",1,1,1,1,1,0,1
"26d566cf-04c4-4c89-aa27-1d8efcf6c5e1",56,4,4.69315068493151,0.623193759721863,2,12,"CP","CP",3,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
