"id","age_months","age_years","stim_set","highest_count","knower_level","knower_level_cp_subset","trial","magnitude","set_chosen","count","correction_after_prompt","final_count","set_asked","n_bunnies","n_lions","trial_ratio","correct_set_chosen","target_count","correct_count","correct_set_chosen_or_correct_count","correct_count_when_correct_set_chosen","count_error","correct_count_approx"
"69ccb70d-7ef6-47a0-93dd-cfcfcaaf83f8",56,4,2,12,"CP","CP",5,"large","bunny",5,NA,5,"bunny",5,8,"5-8",1,5,1,1,1,0,1
"69ccb70d-7ef6-47a0-93dd-cfcfcaaf83f8",56,4,2,12,"CP","CP",6,"small","lion",3,NA,3,"lion",2,3,"2-3",1,3,1,1,1,0,1
"4eed1c0f-693e-49f9-87f8-bc43ec87ceee",49,4,1,10,"CP","CP",1,"small","lion",1,NA,1,"lion",3,1,"1-3",1,1,1,1,1,0,1
"4eed1c0f-693e-49f9-87f8-bc43ec87ceee",49,4,1,10,"CP","CP",2,"large","lion",7,NA,7,"lion",5,7,"5-7",1,7,1,1,1,0,1
"4eed1c0f-693e-49f9-87f8-bc43ec87ceee",49,4,1,10,"CP","CP",3,"large","bunny",NA,NA,NA,"bunny",6,7,"6-7",1,6,0,1,0,NA,0
"4eed1c0f-693e-49f9-87f8-bc43ec87ceee",49,4,1,10,"CP","CP",4,"small","bunny",2,NA,2,"bunny",2,3,"2-3",1,2,1,1,1,0,1
"4eed1c0f-693e-49f9-87f8-bc43ec87ceee",49,4,1,10,"CP","CP",5,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"4eed1c0f-693e-49f9-87f8-bc43ec87ceee",49,4,1,10,"CP","CP",6,"large","bunny",600,NA,600,"bunny",8,5,"5-8",1,8,0,1,0,592,0
"73a79736-a9dd-4436-923b-bc0ef50fd4cb",55,4,4,12,"CP","CP",1,"large","bunny",5,NA,5,"bunny",5,8,"5-8",1,5,1,1,1,0,1
"73a79736-a9dd-4436-923b-bc0ef50fd4cb",55,4,4,12,"CP","CP",2,"large","lion",7,NA,7,"lion",6,7,"6-7",1,7,1,1,1,0,1
"73a79736-a9dd-4436-923b-bc0ef50fd4cb",55,4,4,12,"CP","CP",3,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"73a79736-a9dd-4436-923b-bc0ef50fd4cb",55,4,4,12,"CP","CP",4,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"73a79736-a9dd-4436-923b-bc0ef50fd4cb",55,4,4,12,"CP","CP",5,"small","lion",2,NA,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"73a79736-a9dd-4436-923b-bc0ef50fd4cb",55,4,4,12,"CP","CP",6,"small","bunny",3,NA,3,"bunny",3,1,"1-3",1,3,1,1,1,0,1
"bbe64a45-e2d0-4009-823f-614e828a3294",55,4,4,4,"3","subset",1,"large","bunny",4,5,5,"bunny",5,8,"5-8",1,5,1,1,1,0,1
"bbe64a45-e2d0-4009-823f-614e828a3294",55,4,4,4,"3","subset",2,"large","lion",7,NA,7,"lion",6,7,"6-7",1,7,1,1,1,0,1
"bbe64a45-e2d0-4009-823f-614e828a3294",55,4,4,4,"3","subset",3,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"bbe64a45-e2d0-4009-823f-614e828a3294",55,4,4,4,"3","subset",4,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"bbe64a45-e2d0-4009-823f-614e828a3294",55,4,4,4,"3","subset",5,"small","lion",2,NA,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"bbe64a45-e2d0-4009-823f-614e828a3294",55,4,4,4,"3","subset",6,"small","bunny",3,NA,3,"bunny",3,1,"1-3",1,3,1,1,1,0,1
"02cf286f-e2b7-4d6f-aeef-5ce2be327215",51,4,1,9,"CP","CP",1,"small","lion",1,NA,1,"lion",3,1,"1-3",1,1,1,1,1,0,1
"02cf286f-e2b7-4d6f-aeef-5ce2be327215",51,4,1,9,"CP","CP",2,"large","lion",6,NA,6,"lion",5,7,"5-7",1,7,0,1,0,-1,1
"02cf286f-e2b7-4d6f-aeef-5ce2be327215",51,4,1,9,"CP","CP",3,"large","bunny",6,NA,6,"bunny",6,7,"6-7",1,6,1,1,1,0,1
"02cf286f-e2b7-4d6f-aeef-5ce2be327215",51,4,1,9,"CP","CP",4,"small","bunny",2,NA,2,"bunny",2,3,"2-3",1,2,1,1,1,0,1
"02cf286f-e2b7-4d6f-aeef-5ce2be327215",51,4,1,9,"CP","CP",5,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"02cf286f-e2b7-4d6f-aeef-5ce2be327215",51,4,1,9,"CP","CP",6,"large","bunny",8,NA,8,"bunny",8,5,"5-8",1,8,1,1,1,0,1
"1c65c41e-18ea-4226-8cdb-466040d79b79",35,2,4,1,"2","subset",1,"large",NA,7,NA,7,"bunny",5,8,"5-8",0,5,0,0,0,2,0
"1c65c41e-18ea-4226-8cdb-466040d79b79",35,2,4,1,"2","subset",2,"large",NA,6,NA,6,"lion",6,7,"6-7",0,7,0,0,0,-1,1
"1c65c41e-18ea-4226-8cdb-466040d79b79",35,2,4,1,"2","subset",3,"small",NA,7,NA,7,"lion",1,2,"1-2",0,2,0,0,0,5,0
